#MenusAndUI

sytx901	&Nová Hra
sytx902	Ï&al¹ie Nastavenia
sytx903	Rýchlos» Pohybu M&y¹i
sytx904	Nastavenia &Grafiky a Rozlí¹enia...
sytx905	Nastavenia Grafiky
sytx906	R&ozlí¹enie
sytx907	&Návrat do Menu Nastavení
sytx908	Re¾im v &Okne
sytx909	Spôsob R&enderovania:
sytx910	&Komentáre Autorov
sytx911	&Hlasitos» Komentárov Autorov
sytx912	Remastered
sytx913	Pôvodný
sytx914	&Galéria Výtvarných Konceptov
sytx915	Ïal¹ie Nastavenia
sytx916	&Jazyk
sytx917	Slovenèina
sytx918	Deutsch
sytx919	Español
sytx920	Français
sytx921	Italiano
sytx922	Português do Brasil
sytx923	Zobra» predmet / Odlo¾i» predmet / Preskoèi» dialóg
sytx924	Pou¾i» predmet / Hovori» / Preskoèi» dialóg
sytx925	Komentáre Autorov
sytx926	Pre návrat do menu - stlaèi» potvrdenie/zru¹enie 
sytx927	Pre navigáciu - pohyb do½ava/doprava
styx928	Pomer strán:
styx929	Klasický (4:3)
styx930	©irokouhlý (16:9)
sytx931	Potvrdi»
sytx932	Spä» do Hry
sytx933	Spä» do Menu
sytx934	OVLÁDANIE
sytx935	MO®NOSTI
sytx936	ÏAL©IE NASTAVENIA
sytx937	HLASY V KOMENTÁROCH AUTOROV
sytx938	Návrat k Nastaveniam
sytx939	Pohyb
sytx940	Preskúma» Predmet
sytx941	Pauza
sytx942	Beh
sytx943	Otvori» Inventár
sytx944	Zobra» Predmet
sytx945	Odlo¾i» Predmet
sytx946	Preskoèi» Dialóg
sytx947	Pou¾i» Predmet
sytx948	Hovori»
sytx949	Preskoèi» Dialóg
sytx950	NASTAVENIA GRAFIKY
sytx951	PREPIS DIALÓGOV
sytx952	Skrolova»
sytx953	Zobrazi» Kto Nahovoril Komentáre Autorov
sytx954	FILMOVÉ SEKVENCIE
sytx955	VÝTVARNÉ KONCEPTY
sytx956	ÁNO
sytx957	NIE
sytx958	Zvo½te Mo¾nos»
sytx959	CHVÍ¼U STRPENIA
sytx960	OK
sytx961	Klasicý (4:3) s Okrajmi
sytx962	Prepnú» Spôsob Renderovania
sytx963	Slot {0}
sytx964	Ukonèi»
sytx965	Ovláda»
sytx966	Nepou¾ité
sytx967	Do not turn off the PlayStation®Vita system while the following icon is displayed on screen.
sytx968	Do not turn off the PlayStation®4 system while the following icon is displayed on screen.
sytx969	Automatic Cross-Save Sync
sytx970	Sync Cross-Save Data Now
sytx971	Your local save data is older than the current Cross-Save data. Use the latest Cross-Save data? Select "YES" to retrieve Cross-Save data and overwrite your local save data. Select "NO" to overwrite Cross-Save data with your local save data.
sytx972	Your local save data is newer than the current Cross-Save data. Overwrite the Cross-Save data? Select "YES" to overwrite Cross-Save data with your local save data. Select "NO" to retrieve Cross-Save data and overwrite your local save data.
sytx973	Connecting to "PSN". Please wait...
